run,epoch,batch_size,avg_cost,mem_gb,compil_time,model_name,strategy,dp,pp,tp,max_memory,max_utilization
0,0,1,0.14154293537139892,4.848096419125795,104.73820972442627,google-t5/t5-base,DynP,-1,1,1,11,46
1,0,1,0.17897915840148926,4.848096419125795,0.10887765884399414,google-t5/t5-base,DynP,-1,1,1,11,47
2,0,1,0.11155178546905517,4.848096419125795,0.13645648956298828,google-t5/t5-base,DynP,-1,1,1,11,46
0,0,2,0.15624628067016602,8.453651536256075,84.0071370601654,google-t5/t5-base,DynP,-1,1,1,19,49
1,0,2,0.19356377124786378,8.453651536256075,0.1320488452911377,google-t5/t5-base,DynP,-1,1,1,20,50
2,0,2,0.11420936584472656,8.453651536256075,0.10772514343261719,google-t5/t5-base,DynP,-1,1,1,23,57
0,0,4,0.12188897132873536,13.602380137890577,85.5022120475769,google-t5/t5-base,DynP,-1,1,1,41,72
1,0,4,0.09768040180206299,13.602380137890577,0.09562397003173828,google-t5/t5-base,DynP,-1,1,1,45,75
2,0,4,0.13618957996368408,13.602380137890577,0.09016299247741699,google-t5/t5-base,DynP,-1,1,1,47,79
0,0,8,0.13351950645446778,21.535363297909498,70.99618887901306,google-t5/t5-base,DynP,-1,1,1,65,100
1,0,8,0.1336747646331787,21.535363297909498,0.12854504585266113,google-t5/t5-base,DynP,-1,1,1,65,100
2,0,8,0.16142826080322265,21.535363297909498,0.3490169048309326,google-t5/t5-base,DynP,-1,1,1,0,0
0,0,16,0.20883212089538575,38.126263942569494,72.25176477432251,google-t5/t5-base,DynP,-1,1,1,76,100
1,0,16,0.20534369945526124,38.126263942569494,0.23037981986999512,google-t5/t5-base,DynP,-1,1,1,75,100
2,0,16,0.250898551940918,38.126263942569494,0.2310938835144043,google-t5/t5-base,DynP,-1,1,1,74,100
