run,epoch,batch_size,avg_cost,mem_gb,compil_time,model_name,strategy,dp,pp,tp,max_memory,max_utilization
0,0,1,0.20215399265289308,4.616318227723241,153.57107710838318,facebook/opt-350m,DynP,-1,1,1,11,36
1,0,1,0.2688075065612793,4.616318227723241,0.1041572093963623,facebook/opt-350m,DynP,-1,1,1,15,60
2,0,1,0.20171041488647462,4.616318227723241,0.11011600494384766,facebook/opt-350m,DynP,-1,1,1,7,26
0,0,2,0.22853655815124513,7.9409369099885225,168.97455620765686,facebook/opt-350m,DynP,-1,1,1,35,89
1,0,2,0.1422663688659668,7.9409369099885225,0.11812162399291992,facebook/opt-350m,DynP,-1,1,1,0,0
2,0,2,0.10581820011138916,7.9409369099885225,0.09955406188964844,facebook/opt-350m,DynP,-1,1,1,33,82
0,0,4,0.14971013069152833,9.051462205126882,146.71961784362793,facebook/opt-350m,DynP,-1,1,1,45,92
1,0,4,0.12419865131378174,9.051462205126882,0.1422116756439209,facebook/opt-350m,DynP,-1,1,1,46,92
2,0,4,0.12088727951049805,9.051462205126882,0.14367294311523438,facebook/opt-350m,DynP,-1,1,1,46,90
0,0,8,0.2184537649154663,10.826383830979466,132.06639790534973,facebook/opt-350m,DynP,-1,1,1,57,98
1,0,8,0.31241021156311033,10.826383830979466,0.20685386657714844,facebook/opt-350m,DynP,-1,1,1,55,93
2,0,8,0.17379915714263916,10.826383830979466,0.20894360542297363,facebook/opt-350m,DynP,-1,1,1,57,97
0,0,16,0.29196102619171144,14.89768542163074,125.94829654693604,facebook/opt-350m,DynP,-1,1,1,69,96
1,0,16,0.38623199462890623,14.89768542163074,0.32741761207580566,facebook/opt-350m,DynP,-1,1,1,67,100
2,0,16,0.2980252504348755,14.89768542163074,0.31522393226623535,facebook/opt-350m,DynP,-1,1,1,67,98
0,0,32,0.5013075590133667,22.551006285473704,131.06428813934326,facebook/opt-350m,DynP,-1,1,1,76,100
1,0,32,0.5058820486068726,22.551006285473704,1.0148050785064697,facebook/opt-350m,DynP,-1,1,1,77,100
2,0,32,0.5201827049255371,22.551006285473704,0.5271189212799072,facebook/opt-350m,DynP,-1,1,1,76,100
0,0,64,0.9096152067184449,37.96297921054065,124.45712995529175,facebook/opt-350m,DynP,-1,1,1,81,100
1,0,64,0.9131948232650757,37.96297921054065,0.9413459300994873,facebook/opt-350m,DynP,-1,1,1,79,100
2,0,64,0.9098870038986206,37.96297921054065,0.925983190536499,facebook/opt-350m,DynP,-1,1,1,80,100
