run,epoch,batch_size,avg_cost,mem_gb,compil_time,model_name,strategy,dp,pp,tp,max_memory,max_utilization
0,0,1,0.1413421392440796,30.787196595221758,76.90951800346375,facebook/opt-1.3b,DynP,-1,1,1,78,100
1,0,1,0.13587040901184083,30.787196595221758,0.1466383934020996,facebook/opt-1.3b,DynP,-1,1,1,73,100
2,0,1,0.14048500061035157,30.787196595221758,0.15130400657653809,facebook/opt-1.3b,DynP,-1,1,1,78,100
0,0,2,0.17840118408203126,31.825311975553632,70.15855550765991,facebook/opt-1.3b,DynP,-1,1,1,73,100
1,0,2,0.1832500457763672,31.825311975553632,0.1834733486175537,facebook/opt-1.3b,DynP,-1,1,1,80,100
2,0,2,0.18438501358032228,31.825311975553632,0.1877732276916504,facebook/opt-1.3b,DynP,-1,1,1,71,100
0,0,4,0.25046491622924805,32.459320137277246,69.23209524154663,facebook/opt-1.3b,DynP,-1,1,1,68,100
1,0,4,0.25214805603027346,32.459320137277246,0.2575724124908447,facebook/opt-1.3b,DynP,-1,1,1,68,100
2,0,4,0.24916691780090333,32.459320137277246,0.25634765625,facebook/opt-1.3b,DynP,-1,1,1,68,100
0,0,8,0.3637225151062012,35.182735020294785,69.31282615661621,facebook/opt-1.3b,DynP,-1,1,1,75,100
1,0,8,0.384942626953125,35.182735020294785,0.39481043815612793,facebook/opt-1.3b,DynP,-1,1,1,76,100
2,0,8,0.35573222637176516,35.182735020294785,0.39214444160461426,facebook/opt-1.3b,DynP,-1,1,1,76,100
0,0,16,0.6289162397384643,42.53650644235313,72.30064606666565,facebook/opt-1.3b,DynP,-1,1,1,75,100
1,0,16,0.6389476776123046,42.53650644235313,0.674912691116333,facebook/opt-1.3b,DynP,-1,1,1,75,100
2,0,16,0.6663267135620117,42.53650644235313,0.6604444980621338,facebook/opt-1.3b,DynP,-1,1,1,74,100
