run,epoch,batch_size,avg_cost,mem_gb,compil_time,model_name,strategy,dp,pp,tp,max_memory,max_utilization
0,0,1,0.11688022613525391,5.531322885304689,91.48764038085938,google/vit-large-patch16-224-in21k,DynP,-1,1,1,13,43
1,0,1,0.08990232944488526,5.531322885304689,0.09011578559875488,google/vit-large-patch16-224-in21k,DynP,-1,1,1,13,41
2,0,1,0.12041313648223877,5.531322885304689,0.09359264373779297,google/vit-large-patch16-224-in21k,DynP,-1,1,1,13,42
0,0,2,0.08965537548065186,7.229141157120466,80.76482558250427,google/vit-large-patch16-224-in21k,DynP,-1,1,1,16,50
1,0,2,0.12260997295379639,7.229141157120466,0.08992719650268555,google/vit-large-patch16-224-in21k,DynP,-1,1,1,18,58
2,0,2,0.12316622734069824,7.229141157120466,0.08052396774291992,google/vit-large-patch16-224-in21k,DynP,-1,1,1,17,53
0,0,4,0.12362031936645508,10.510413195937872,82.70300626754761,google/vit-large-patch16-224-in21k,DynP,-1,1,1,28,81
1,0,4,0.12185509204864502,10.510413195937872,0.09722280502319336,google/vit-large-patch16-224-in21k,DynP,-1,1,1,28,80
2,0,4,0.11844151020050049,10.510413195937872,0.09248661994934082,google/vit-large-patch16-224-in21k,DynP,-1,1,1,28,80
