run,epoch,batch_size,avg_cost,mem_gb,compil_time,model_name,strategy,dp,pp,tp,max_memory,max_utilization
0,0,1,0.21711969375610352,32.50600214488804,211.32748198509216,facebook/opt-2.7b,DynP,-1,1,1,62,100
1,0,1,0.31686816215515134,32.50600214488804,0.21435093879699707,facebook/opt-2.7b,DynP,-1,1,1,63,100
2,0,1,0.19354710578918458,32.50600214488804,0.19469738006591797,facebook/opt-2.7b,DynP,-1,1,1,57,99
0,0,2,0.29209487438201903,32.5140537712723,200.65838885307312,facebook/opt-2.7b,DynP,-1,1,1,59,100
1,0,2,0.27778632640838624,32.5140537712723,0.2617483139038086,facebook/opt-2.7b,DynP,-1,1,1,58,100
2,0,2,0.2900808095932007,32.5140537712723,0.2780158519744873,facebook/opt-2.7b,DynP,-1,1,1,59,100
0,0,4,0.43929133415222166,34.55927866138518,198.83353686332703,facebook/opt-2.7b,DynP,-1,1,1,64,100
1,0,4,0.4364807367324829,34.55927866138518,0.41713595390319824,facebook/opt-2.7b,DynP,-1,1,1,63,100
2,0,4,0.4309535980224609,34.55927866138518,0.44312262535095215,facebook/opt-2.7b,DynP,-1,1,1,64,100
0,0,8,0.7719909429550171,39.78646924905479,189.407231092453,facebook/opt-2.7b,DynP,-1,1,1,66,100
1,0,8,0.7368735313415528,39.78646924905479,0.7361068725585938,facebook/opt-2.7b,DynP,-1,1,1,66,100
2,0,8,0.7529099941253662,39.78646924905479,0.7336030006408691,facebook/opt-2.7b,DynP,-1,1,1,65,100
0,0,16,1.3414409399032592,50.608647076413035,191.59153366088867,facebook/opt-2.7b,DynP,-1,1,1,66,100
1,0,16,1.3915122270584106,50.608647076413035,1.363553762435913,facebook/opt-2.7b,DynP,-1,1,1,65,100
2,0,16,1.3567442893981934,50.608647076413035,1.3268845081329346,facebook/opt-2.7b,DynP,-1,1,1,67,100
