run,epoch,batch_size,avg_cost,mem_gb,compil_time,model_name,strategy,dp,pp,tp,max_memory,max_utilization
0,0,1,0.18715965747833252,16.992342056706548,238.02460551261902,facebook/opt-2.7b,DynP,-1,1,1,46,89
1,0,1,0.34311494827270506,16.992342056706548,0.20248055458068848,facebook/opt-2.7b,DynP,-1,1,1,42,81
2,0,1,0.18496758937835694,16.992342056706548,0.22645163536071777,facebook/opt-2.7b,DynP,-1,1,1,37,89
0,0,2,0.31725852489471434,18.712728429585695,227.5889377593994,facebook/opt-2.7b,DynP,-1,1,1,49,94
1,0,2,0.32126901149749754,18.712728429585695,0.3227410316467285,facebook/opt-2.7b,DynP,-1,1,1,51,90
2,0,2,0.31620867252349855,18.712728429585695,0.3124856948852539,facebook/opt-2.7b,DynP,-1,1,1,54,100
