run,epoch,batch_size,avg_cost,mem_gb,compil_time,model_name,strategy,dp,pp,tp,max_memory,max_utilization
0,0,1,0.14336395263671875,1.9420155324041843,58.999078035354614,google-t5/t5-small,DynP,-1,1,1,0,0
1,0,1,0.1556100845336914,1.9420155324041843,0.06247544288635254,google-t5/t5-small,DynP,-1,1,1,8,33
2,0,1,0.1478436231613159,1.9420155324041843,0.07698798179626465,google-t5/t5-small,DynP,-1,1,1,7,28
0,0,2,0.055568695068359375,2.8412374667823315,37.842090129852295,google-t5/t5-small,DynP,-1,1,1,13,41
1,0,2,0.058563971519470216,2.8412374667823315,0.06299042701721191,google-t5/t5-small,DynP,-1,1,1,14,46
2,0,2,0.1034010410308838,2.8412374667823315,0.06298708915710449,google-t5/t5-small,DynP,-1,1,1,2,5
0,0,4,0.12556803226470947,4.67949678376317,33.30671787261963,google-t5/t5-small,DynP,-1,1,1,0,0
1,0,4,0.13543078899383545,4.67949678376317,0.047666072845458984,google-t5/t5-small,DynP,-1,1,1,17,35
2,0,4,0.14067933559417725,4.67949678376317,0.04165244102478027,google-t5/t5-small,DynP,-1,1,1,19,39
0,0,8,0.10777640342712402,7.935321290045977,31.521125555038452,google-t5/t5-small,DynP,-1,1,1,0,0
1,0,8,0.1443378210067749,7.935321290045977,0.05625414848327637,google-t5/t5-small,DynP,-1,1,1,52,89
2,0,8,0.14678339958190917,7.935321290045977,0.06078910827636719,google-t5/t5-small,DynP,-1,1,1,42,72
0,0,16,0.1326140880584717,14.759070459753275,33.45309615135193,google-t5/t5-small,DynP,-1,1,1,0,0
1,0,16,0.08195807933807372,14.759070459753275,0.09858989715576172,google-t5/t5-small,DynP,-1,1,1,71,100
2,0,16,0.0912515640258789,14.759070459753275,0.09370303153991699,google-t5/t5-small,DynP,-1,1,1,72,100
0,0,32,0.15680906772613526,27.852401573210955,32.25427436828613,google-t5/t5-small,DynP,-1,1,1,29,38
1,0,32,0.11842212677001954,27.852401573210955,0.129683256149292,google-t5/t5-small,DynP,-1,1,1,79,100
2,0,32,0.1321711778640747,27.852401573210955,0.1347341537475586,google-t5/t5-small,DynP,-1,1,1,79,100
0,0,64,0.31431894302368163,53.98718364909291,32.5728325843811,google-t5/t5-small,DynP,-1,1,1,83,100
1,0,64,0.29864580631256105,53.98718364909291,0.2232532501220703,google-t5/t5-small,DynP,-1,1,1,83,100
2,0,64,0.29077649116516113,53.98718364909291,0.22658038139343262,google-t5/t5-small,DynP,-1,1,1,83,100
