run,epoch,batch_size,avg_cost,mem_gb,compil_time,model_name,strategy,dp,pp,tp,max_memory,max_utilization
0,0,1,0.3634004592895508,40.90112596936524,267.8870987892151,facebook/opt-6.7b,DynP,-1,1,1,54,100
1,0,1,0.3055862903594971,40.90112596936524,0.34864354133605957,facebook/opt-6.7b,DynP,-1,1,1,63,100
2,0,1,0.30808205604553224,40.90112596936524,0.3362143039703369,facebook/opt-6.7b,DynP,-1,1,1,62,100
0,0,2,0.43239080905914307,42.98064033873379,222.71406722068787,facebook/opt-6.7b,DynP,-1,1,1,68,100
1,0,2,0.4352782487869263,42.98064033873379,0.5057740211486816,facebook/opt-6.7b,DynP,-1,1,1,67,100
2,0,2,0.4677234411239624,42.98064033873379,0.5037398338317871,facebook/opt-6.7b,DynP,-1,1,1,68,100
0,0,4,0.7870593786239624,49.600743079558015,236.63743114471436,facebook/opt-6.7b,DynP,-1,1,1,72,100
1,0,4,0.8214229822158814,49.600743079558015,0.8507199287414551,facebook/opt-6.7b,DynP,-1,1,1,72,100
2,0,4,0.7981585502624512,49.600743079558015,0.8439018726348877,facebook/opt-6.7b,DynP,-1,1,1,72,100
