run,epoch,batch_size,avg_cost,mem_gb,compil_time,model_name,strategy,dp,pp,tp,max_memory,max_utilization
0,0,1,0.18822720050811767,76.59128732047975,54.68264436721802,Erland/gemma-2b-JAX,DynP,-1,1,1,47,99
1,0,1,0.19267568588256836,76.59128732047975,0.1971571445465088,Erland/gemma-2b-JAX,DynP,-1,1,1,59,100
2,0,1,0.18381576538085936,76.59128732047975,0.20960474014282227,Erland/gemma-2b-JAX,DynP,-1,1,1,50,100
0,0,2,0.208978533744812,80.68911474756896,24.936063766479492,Erland/gemma-2b-JAX,DynP,-1,1,1,50,100
1,0,2,0.22566986083984375,80.68911474756896,0.22191572189331055,Erland/gemma-2b-JAX,DynP,-1,1,1,47,100
2,0,2,0.20509004592895508,80.68911474756896,0.2200920581817627,Erland/gemma-2b-JAX,DynP,-1,1,1,50,100
0,0,4,0.2415255069732666,88.8542520236224,24.61931347846985,Erland/gemma-2b-JAX,DynP,-1,1,1,45,100
1,0,4,0.2705336570739746,88.8542520236224,0.27364444732666016,Erland/gemma-2b-JAX,DynP,-1,1,1,45,100
2,0,4,0.26464941501617434,88.8542520236224,0.27338552474975586,Erland/gemma-2b-JAX,DynP,-1,1,1,45,100
