run,epoch,batch_size,avg_cost,mem_gb,compil_time,model_name,strategy,dp,pp,tp,max_memory,max_utilization
0,0,1,0.34534831047058107,42.1494050566107,175.8919496536255,Erland/Llama-3.2-3B-JAX,DynP,-1,1,1,70,82
1,0,1,0.33531486988067627,42.1494050566107,0.19486117362976074,Erland/Llama-3.2-3B-JAX,DynP,-1,1,1,57,70
2,0,1,0.15615153312683105,42.1494050566107,0.17498016357421875,Erland/Llama-3.2-3B-JAX,DynP,-1,1,1,82,100
0,0,2,0.18892011642456055,44.442553566768765,107.50539064407349,Erland/Llama-3.2-3B-JAX,DynP,-1,1,1,68,100
1,0,2,0.27936344146728515,44.442553566768765,0.16823673248291016,Erland/Llama-3.2-3B-JAX,DynP,-1,1,1,78,100
2,0,2,0.23054561614990235,44.442553566768765,0.15634608268737793,Erland/Llama-3.2-3B-JAX,DynP,-1,1,1,0,0
0,0,4,0.31827878952026367,49.112841637805104,120.95646142959595,Erland/Llama-3.2-3B-JAX,DynP,-1,1,1,71,100
1,0,4,0.3126279354095459,49.112841637805104,0.19219565391540527,Erland/Llama-3.2-3B-JAX,DynP,-1,1,1,58,100
2,0,4,0.3227792978286743,49.112841637805104,0.19689559936523438,Erland/Llama-3.2-3B-JAX,DynP,-1,1,1,71,100
