run,epoch,batch_size,avg_cost,mem_gb,compil_time,model_name,strategy,dp,pp,tp,max_memory,max_utilization
0,0,1,0.2408074140548706,46.60364875756204,102.3149185180664,Erland/Llama-3.2-3B-JAX,DynP,-1,1,1,23,99
1,0,1,0.2243971347808838,46.60364875756204,0.22482919692993164,Erland/Llama-3.2-3B-JAX,DynP,-1,1,1,27,99
2,0,1,0.2684295892715454,46.60364875756204,0.2368004322052002,Erland/Llama-3.2-3B-JAX,DynP,-1,1,1,23,99
0,0,2,0.29816384315490724,51.30042799375951,58.96692514419556,Erland/Llama-3.2-3B-JAX,DynP,-1,1,1,25,99
1,0,2,0.28360552787780763,51.30042799375951,0.26278042793273926,Erland/Llama-3.2-3B-JAX,DynP,-1,1,1,25,99
2,0,2,0.26471383571624757,51.30042799375951,0.2717897891998291,Erland/Llama-3.2-3B-JAX,DynP,-1,1,1,25,100
0,0,4,0.33473207950592043,61.008421232923865,61.814292669296265,Erland/Llama-3.2-3B-JAX,DynP,-1,1,1,24,97
1,0,4,0.3427426338195801,61.008421232923865,0.3293428421020508,Erland/Llama-3.2-3B-JAX,DynP,-1,1,1,19,95
2,0,4,0.3632620573043823,61.008421232923865,0.3457651138305664,Erland/Llama-3.2-3B-JAX,DynP,-1,1,1,30,96
0,0,8,0.4933647871017456,80.10705088637769,61.4522762298584,Erland/Llama-3.2-3B-JAX,DynP,-1,1,1,32,98
1,0,8,0.48322715759277346,80.10705088637769,0.477341890335083,Erland/Llama-3.2-3B-JAX,DynP,-1,1,1,29,99
2,0,8,0.5606795310974121,80.10705088637769,0.5171518325805664,Erland/Llama-3.2-3B-JAX,DynP,-1,1,1,32,99
